GameNo,Tm,D/N,Attendance,API DATE Format
41,CHC,D,36671,2014-05-17
42,CHC,D,37631,2014-05-18
43,CHC,N,38753,2014-05-20
44,CHC,D,34808,2014-05-21
55,CHC,N,34697,2014-06-03
56,CHC,N,28185,2014-06-04
57,CHC,N,28833,2014-06-05
58,CHC,D,28495,2014-06-06
59,CHC,D,33786,2014-06-07
60,CHC,D,33134,2014-06-08
71,CHC,D,36423,2014-06-20
72,CHC,N,36563,2014-06-21
73,CHC,D,33573,2014-06-22
74,CHC,N,27747,2014-06-23
75,CHC,N,28226,2014-06-24
76,CHC,N,28207,2014-06-25
77,CHC,N,28867,2014-06-26
78,CHC,D,30683,2014-06-27
79,CHC,D,35770,2014-06-28
80,CHC,N,32267,2014-06-28
92,CHC,D,39544,2014-07-11
93,CHC,D,36806,2014-07-12
94,CHC,D,36363,2014-07-13
98,CHC,N,32730,2014-07-22
99,CHC,N,30718,2014-07-23
100,CHC,N,31321,2014-07-24
101,CHC,D,41534,2014-07-25
102,CHC,D,41927,2014-07-26
103,CHC,D,35256,2014-07-27
104,CHC,N,29702,2014-07-28
105,CHC,N,28590,2014-07-29
106,CHC,N,29491,2014-07-30
107,CHC,D,35729,2014-07-31
114,CHC,D,34937,2014-08-08
115,CHC,D,36739,2014-08-09
116,CHC,D,33039,2014-08-10
117,CHC,N,28927,2014-08-11
118,CHC,N,28819,2014-08-12
119,CHC,N,31191,2014-08-13
120,CHC,D,38157,2014-08-14
125,CHC,N,31064,2014-08-19
126,CHC,N,30633,2014-08-20
127,CHC,N,30541,2014-08-21
128,CHC,D,33761,2014-08-22
129,CHC,D,37156,2014-08-23
130,CHC,D,32774,2014-08-24
138,CHC,D,32054,2014-09-01
139,CHC,N,28434,2014-09-02
140,CHC,N,31251,2014-09-03
141,CHC,D,35541,2014-09-05
142,CHC,D,36867,2014-09-06
143,CHC,D,33894,2014-09-07
150,CHC,N,33144,2014-09-15
151,CHC,N,33812,2014-09-16
152,CHC,N,33500,2014-09-17
153,CHC,N,33649,2014-09-18
154,CHC,D,33322,2014-09-19
155,CHC,D,34334,2014-09-20
156,CHC,D,31933,2014-09-21
157,CHC,N,28893,2014-09-22
158,CHC,N,29754,2014-09-23
159,CHC,N,33292,2014-09-24
7,BOS,D,37203,2015-04-13
8,BOS,N,35258,2015-04-14
9,BOS,D,33493,2015-04-15
10,BOS,N,34341,2015-04-17
11,BOS,D,37655,2015-04-18
12,BOS,D,37761,2015-04-19
13,BOS,D,36829,2015-04-20
20,BOS,N,34739,2015-04-27
21,BOS,N,33920,2015-04-28
22,BOS,N,34220,2015-04-29
23,BOS,N,35444,2015-05-01
24,BOS,D,36611,2015-05-02
25,BOS,N,33198,2015-05-03
26,BOS,N,34541,2015-05-04
27,BOS,N,33688,2015-05-05
28,BOS,N,35060,2015-05-06
39,BOS,N,36580,2015-05-19
40,BOS,N,35726,2015-05-20
41,BOS,N,34945,2015-05-21
42,BOS,N,36150,2015-05-22
43,BOS,N,37735,2015-05-23
44,BOS,D,37742,2015-05-24
52,BOS,N,32622,2015-06-02
53,BOS,D,31704,2015-06-03
54,BOS,N,33291,2015-06-03
55,BOS,D,33615,2015-06-04
56,BOS,N,34910,2015-06-05
57,BOS,D,36713,2015-06-06
58,BOS,D,36913,2015-06-07
62,BOS,N,37575,2015-06-12
63,BOS,D,37158,2015-06-13
64,BOS,D,36296,2015-06-14
65,BOS,N,34439,2015-06-15
66,BOS,D,35662,2015-06-16
72,BOS,N,36508,2015-06-23
73,BOS,N,37762,2015-06-24
74,BOS,D,37706,2015-06-25
82,BOS,N,37837,2015-07-03
83,BOS,D,36703,2015-07-04
84,BOS,D,36481,2015-07-05
85,BOS,N,36863,2015-07-07
86,BOS,N,37009,2015-07-08
87,BOS,N,37984,2015-07-10
88,BOS,N,38047,2015-07-11
89,BOS,D,37283,2015-07-12
97,BOS,N,37650,2015-07-24
98,BOS,D,37256,2015-07-25
99,BOS,N,35582,2015-07-26
100,BOS,N,37401,2015-07-27
101,BOS,N,38063,2015-07-28
102,BOS,N,37104,2015-07-29
103,BOS,N,36215,2015-07-30
104,BOS,N,36715,2015-07-31
105,BOS,D,35944,2015-08-01
106,BOS,D,35699,2015-08-02
115,BOS,N,37678,2015-08-14
116,BOS,D,36027,2015-08-15
117,BOS,D,35260,2015-08-16
118,BOS,N,32701,2015-08-17
119,BOS,N,31907,2015-08-18
120,BOS,N,32465,2015-08-19
121,BOS,N,35458,2015-08-20
122,BOS,N,35203,2015-08-21
123,BOS,N,37135,2015-08-22
124,BOS,D,36151,2015-08-23
131,BOS,N,36148,2015-08-31
132,BOS,N,35077,2015-09-01
133,BOS,D,34416,2015-09-02
134,BOS,N,33674,2015-09-04
135,BOS,D,36534,2015-09-05
136,BOS,D,34708,2015-09-06
137,BOS,D,33659,2015-09-07
138,BOS,N,33432,2015-09-08
139,BOS,N,34464,2015-09-09
149,BOS,N,33673,2015-09-21
150,BOS,N,33673,2015-09-22
151,BOS,N,32753,2015-09-23
152,BOS,N,34916,2015-09-24
153,BOS,N,32411,2015-09-25
154,BOS,D,36316,2015-09-26
155,BOS,D,33306,2015-09-27
1,CHC,N,35055,2015-04-05
2,CHC,D,26814,2015-04-08
6,CHC,N,26390,2015-04-13
7,CHC,N,27525,2015-04-14
8,CHC,N,29205,2015-04-15
9,CHC,D,32138,2015-04-17
10,CHC,D,33958,2015-04-18
11,CHC,D,29113,2015-04-19
18,CHC,N,29159,2015-04-27
19,CHC,N,29915,2015-04-28
20,CHC,N,30634,2015-04-29
21,CHC,D,31128,2015-05-01
22,CHC,D,34878,2015-05-02
23,CHC,D,33398,2015-05-03
31,CHC,N,32980,2015-05-11
32,CHC,N,31542,2015-05-12
33,CHC,N,33709,2015-05-13
34,CHC,D,31496,2015-05-14
35,CHC,D,33617,2015-05-15
36,CHC,D,38883,2015-05-16
37,CHC,D,36289,2015-05-17
44,CHC,D,38463,2015-05-25
45,CHC,N,30440,2015-05-26
46,CHC,N,34215,2015-05-27
47,CHC,D,34273,2015-05-29
48,CHC,D,37766,2015-05-31
58,CHC,N,35031,2015-06-11
59,CHC,D,40016,2015-06-12
60,CHC,N,40693,2015-06-13
61,CHC,N,33201,2015-06-14
62,CHC,N,35914,2015-06-16
68,CHC,N,35147,2015-06-22
69,CHC,N,36799,2015-06-23
70,CHC,N,36653,2015-06-24
71,CHC,D,41498,2015-06-25
78,CHC,D,41212,2015-07-03
79,CHC,N,37898,2015-07-04
80,CHC,D,37764,2015-07-05
81,CHC,N,37609,2015-07-06
82,CHC,D,34368,2015-07-07
83,CHC,N,35703,2015-07-07
84,CHC,N,37993,2015-07-08
85,CHC,D,41580,2015-07-10
86,CHC,D,41596,2015-07-11
87,CHC,D,41688,2015-07-12
95,CHC,D,41230,2015-07-24
