,Team,D/N,Attendance,Date
438,CHC,D,40895,2018-04-29
439,CHC,D,32909,2018-05-02
440,CHC,D,34486,2018-05-09
441,CHC,D,39585,2018-05-11
442,CHC,D,41099,2018-05-12
443,CHC,D,40537,2018-05-13
444,CHC,D,35946,2018-05-14
445,CHC,D,41177,2018-05-25
446,CHC,D,40057,2018-06-07
447,CHC,D,40097,2018-06-08
448,CHC,D,41045,2018-06-09
449,CHC,D,40735,2018-06-10
450,CHC,D,39273,2018-06-19
451,CHC,D,41199,2018-06-20
452,CHC,D,41492,2018-06-29
453,CHC,D,40950,2018-06-30
454,CHC,D,40051,2018-07-01
455,CHC,D,38424,2018-07-03
456,CHC,D,40510,2018-07-04
457,CHC,D,41434,2018-07-06
458,CHC,D,41538,2018-07-07
459,CHC,D,38655,2018-07-08
460,CHC,D,41077,2018-07-20
461,CHC,D,41004,2018-07-21
462,CHC,D,39737,2018-07-22
463,CHC,D,35548,2018-07-25
464,CHC,D,38979,2018-07-26
465,CHC,D,40894,2018-08-03
466,CHC,D,40855,2018-08-04
467,CHC,D,41136,2018-08-05
468,CHC,D,41531,2018-08-10
469,CHC,D,41320,2018-08-11
470,CHC,D,40441,2018-08-14
471,CHC,D,39619,2018-08-15
472,CHC,D,37760,2018-08-24
473,CHC,D,41205,2018-08-25
474,CHC,D,40331,2018-08-26
475,CHC,D,33386,2018-08-29
476,CHC,D,41196,2018-09-15
477,CHC,D,41314,2018-09-16
478,CHC,D,39442,2018-09-28
479,CHC,D,40784,2018-09-29
480,CHC,D,39275,2018-09-30
481,CHC,D,38450,2018-10-01
